Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
KCNE1,0.444775387369433,0.0141039249240879,0.0141039249240879,1
SPIRE2,-0.395509810280832,0.0141060543460085,1,0.0141060543460085
XRCC4,0.396103967057723,0.0141072267179159,0.0141072267179159,1
EPS15,0.367899276952246,0.0141229623197468,0.0141229623197468,1
NEK3,0.413275949398839,0.0141229623197468,0.0141229623197468,1
ATXN7L3,-0.431790752676837,0.0141324272383137,1,0.0141324272383137
GIT2,-0.431421926702643,0.014134528904527,1,0.014134528904527
DNAJB5,-0.554609501666871,0.0141393782772214,1,0.0141393782772214
MYO19,0.628491617005136,0.0141480511282056,0.0141480511282056,1
GUCA1A,0.554301448892943,0.014157382104151,0.014157382104151,1
NPSA,0.37869436439998,0.0141606989237913,0.0141606989237913,1
